Tiempo (s),Radio (mm),Altura (mm),Diametro (mm),Volumen (mm³),dV/dt (mm³/s)
0.0,1.0,1.0,2.0,3.141592653589793,0.942477796076938
0.10101010101010101,1.0101010101010102,1.0101010101010102,2.0202020202020203,3.23775728264153,0.9616139129445344
0.20202020202020202,1.02020202020202,1.02020202020202,2.04040404040404,3.335864566062849,0.9809423525947192
0.30303030303030304,1.0303030303030303,1.0303030303030303,2.0606060606060606,3.4359339303974514,1.0004631150274934
0.40404040404040403,1.0404040404040404,1.0404040404040404,2.080808080808081,3.5379848021890306,1.0201762002428565
0.5050505050505051,1.0505050505050506,1.0505050505050506,2.101010101010101,3.6420366079812823,1.0400816082408086
0.6060606060606061,1.0606060606060606,1.0606060606060606,2.121212121212121,3.7481087743179,1.0601793390213488
0.7070707070707071,1.0707070707070707,1.0707070707070707,2.1414141414141414,3.8562207277425835,1.0804693925844786
0.8080808080808081,1.0808080808080809,1.0808080808080809,2.1616161616161618,3.966391894799027,1.1009517689301973
0.9090909090909091,1.0909090909090908,1.0909090909090908,2.1818181818181817,4.078641702030925,1.1216264680585046
1.0101010101010102,1.101010101010101,1.101010101010101,2.202020202020202,4.192989575981977,1.1424934899694013
1.1111111111111112,1.1111111111111112,1.1111111111111112,2.2222222222222223,4.309454943195876,1.1635528346628867
1.2121212121212122,1.121212121212121,1.121212121212121,2.242424242424242,4.428057230216316,1.1848045021389606
1.3131313131313131,1.1313131313131313,1.1313131313131313,2.2626262626262625,4.548815863586998,1.2062484923976236
1.4141414141414141,1.1414141414141414,1.1414141414141414,2.282828282828283,4.671750269851615,1.2278848054388756
1.5151515151515151,1.1515151515151516,1.1515151515151516,2.303030303030303,4.796879875553863,1.2497134412627169
1.6161616161616161,1.1616161616161615,1.1616161616161615,2.323232323232323,4.924224107237435,1.2717343998691462
1.7171717171717171,1.1717171717171717,1.1717171717171717,2.3434343434343434,5.053802391446032,1.2939476812581652
1.8181818181818181,1.1818181818181819,1.1818181818181819,2.3636363636363638,5.185634154723348,1.3163532854297733
1.9191919191919191,1.191919191919192,1.191919191919192,2.383838383838384,5.319738823613079,1.3389512123839697
2.0202020202020203,1.202020202020202,1.202020202020202,2.404040404040404,5.456135824658916,1.3617414621207546
2.121212121212121,1.2121212121212122,1.2121212121212122,2.4242424242424243,5.594844584404563,1.3847240346401295
2.2222222222222223,1.2222222222222223,1.2222222222222223,2.4444444444444446,5.735884529393711,1.4078989299420928
2.323232323232323,1.2323232323232323,1.2323232323232323,2.4646464646464645,5.879275086170055,1.4312661480266446
2.4242424242424243,1.2424242424242424,1.2424242424242424,2.484848484848485,6.025035681277294,1.4548256888937858
2.525252525252525,1.2525252525252526,1.2525252525252526,2.505050505050505,6.1731857412591244,1.4785775525435159
2.6262626262626263,1.2626262626262625,1.2626262626262625,2.525252525252525,6.323744692659235,1.5025217389758345
2.727272727272727,1.2727272727272727,1.2727272727272727,2.5454545454545454,6.476731962021332,1.5266582481907425
2.8282828282828283,1.2828282828282829,1.2828282828282829,2.5656565656565657,6.632166975889104,1.5509870801882393
2.929292929292929,1.2929292929292928,1.2929292929292928,2.5858585858585856,6.790069160806247,1.5755082349683245
3.0303030303030303,1.303030303030303,1.303030303030303,2.606060606060606,6.950457943316461,1.6002217125309992
3.131313131313131,1.3131313131313131,1.3131313131313131,2.6262626262626263,7.11335274996344,1.625127512876263
3.2323232323232323,1.3232323232323233,1.3232323232323233,2.6464646464646466,7.278773007290879,1.6502256360041156
3.3333333333333335,1.3333333333333335,1.3333333333333335,2.666666666666667,7.4467381418424745,1.6755160819145567
3.4343434343434343,1.3434343434343434,1.3434343434343434,2.686868686868687,7.617267580161919,1.7009988506075866
3.5353535353535355,1.3535353535353536,1.3535353535353536,2.707070707070707,7.7903807487929155,1.726673942083206
3.6363636363636362,1.3636363636363638,1.3636363636363638,2.7272727272727275,7.966097074279154,1.752541356341414
3.7373737373737375,1.3737373737373737,1.3737373737373737,2.7474747474747474,8.14443598316433,1.7786010933822103
3.8383838383838382,1.3838383838383839,1.3838383838383839,2.7676767676767677,8.325416901992144,1.8048531532055963
3.9393939393939394,1.393939393939394,1.393939393939394,2.787878787878788,8.50905925730629,1.8312975358115713
4.040404040404041,1.404040404040404,1.404040404040404,2.808080808080808,8.69538247565046,1.8579342412001343
4.141414141414141,1.4141414141414141,1.4141414141414141,2.8282828282828283,8.884405983568357,1.884763269371287
4.242424242424242,1.4242424242424243,1.4242424242424243,2.8484848484848486,9.076149207603672,1.9117846203250288
4.343434343434343,1.4343434343434343,1.4343434343434343,2.8686868686868685,9.270631574300097,1.9389982940613586
4.444444444444445,1.4444444444444444,1.4444444444444444,2.888888888888889,9.467872510201337,1.966404290580278
4.545454545454545,1.4545454545454546,1.4545454545454546,2.909090909090909,9.667891441851085,1.9940026098817862
4.646464646464646,1.4646464646464645,1.4646464646464645,2.929292929292929,9.870707795793031,2.021793251965883
4.747474747474747,1.4747474747474747,1.4747474747474747,2.9494949494949494,10.076340998570878,2.0497762168325693
4.848484848484849,1.4848484848484849,1.4848484848484849,2.9696969696969697,10.284810476728317,2.077951504481844
4.94949494949495,1.494949494949495,1.494949494949495,2.98989898989899,10.49613565680905,2.106319114913708
5.05050505050505,1.5050505050505052,1.5050505050505052,3.0101010101010104,10.710335965356766,2.1348790481281608
5.151515151515151,1.5151515151515151,1.5151515151515151,3.0303030303030303,10.92743082891516,2.1636313041252015
5.252525252525253,1.5252525252525253,1.5252525252525253,3.0505050505050506,11.147439674027938,2.192575882904833
5.353535353535354,1.5353535353535355,1.5353535353535355,3.070707070707071,11.370381927238787,2.2217127844670523
5.454545454545454,1.5454545454545454,1.5454545454545454,3.090909090909091,11.596277015091399,2.25104200881186
5.555555555555555,1.5555555555555556,1.5555555555555556,3.111111111111111,11.825144364129482,2.280563555939257
5.656565656565657,1.5656565656565657,1.5656565656565657,3.1313131313131315,12.057003400896727,2.310277425849244
5.757575757575758,1.5757575757575757,1.5757575757575757,3.1515151515151514,12.291873551936822,2.3401836185418183
5.858585858585858,1.5858585858585859,1.5858585858585859,3.1717171717171717,12.529774243793474,2.370282134016982
5.959595959595959,1.595959595959596,1.595959595959596,3.191919191919192,12.770724903010375,2.4005729722747353
6.0606060606060606,1.606060606060606,1.606060606060606,3.212121212121212,13.014744956131219,2.4310561333150766
6.161616161616162,1.6161616161616164,1.6161616161616164,3.2323232323232327,13.261853829699708,2.461731617138008
6.262626262626262,1.6262626262626263,1.6262626262626263,3.2525252525252526,13.512070950259526,2.492599423743527
6.363636363636363,1.6363636363636362,1.6363636363636362,3.2727272727272725,13.765415744354371,2.5236595531316355
6.4646464646464645,1.6464646464646466,1.6464646464646466,3.2929292929292933,14.021907638527958,2.5549120053023335
6.565656565656566,1.6565656565656566,1.6565656565656566,3.313131313131313,14.281566059323957,2.586356780255619
6.666666666666667,1.6666666666666667,1.6666666666666667,3.3333333333333335,14.544410433286082,2.617993877991495
6.767676767676767,1.676767676767677,1.676767676767677,3.353535353535354,14.81046018695802,2.649823298509959
6.8686868686868685,1.6868686868686869,1.6868686868686869,3.3737373737373737,15.079734746883464,2.6818450418110116
6.96969696969697,1.696969696969697,1.696969696969697,3.393939393939394,15.35225353960612,2.7140591078946534
7.070707070707071,1.7070707070707072,1.7070707070707072,3.4141414141414144,15.62803599166968,2.746465496760884
7.171717171717171,1.7171717171717171,1.7171717171717171,3.4343434343434343,15.90710152961783,2.7790642084097033
7.2727272727272725,1.7272727272727273,1.7272727272727273,3.4545454545454546,16.189469579994284,2.8118552428411125
7.373737373737374,1.7373737373737375,1.7373737373737375,3.474747474747475,16.475159569342726,2.8448386000551107
7.474747474747475,1.7474747474747474,1.7474747474747474,3.494949494949495,16.764190924206847,2.8780142800516963
7.575757575757575,1.7575757575757576,1.7575757575757576,3.515151515151515,17.05658307113036,2.9113822828308717
7.6767676767676765,1.7676767676767677,1.7676767676767677,3.5353535353535355,17.352355436656946,2.9449426083926364
7.777777777777778,1.7777777777777777,1.7777777777777777,3.5555555555555554,17.651527447330302,2.978695256736989
7.878787878787879,1.787878787878788,1.787878787878788,3.575757575757576,17.95411852969414,3.012640227863932
7.979797979797979,1.797979797979798,1.797979797979798,3.595959595959596,18.26014811029213,3.0467775217734623
8.080808080808081,1.8080808080808082,1.8080808080808082,3.6161616161616164,18.569635615667988,3.081107138465583
8.181818181818182,1.8181818181818183,1.8181818181818183,3.6363636363636367,18.882600472365404,3.1156290779402913
8.282828282828282,1.8282828282828283,1.8282828282828283,3.6565656565656566,19.199062106928064,3.150343340197588
8.383838383838384,1.8383838383838385,1.8383838383838385,3.676767676767677,19.51903994589968,3.1852499252374757
8.484848484848484,1.8484848484848486,1.8484848484848486,3.6969696969696972,19.842553415823943,3.220348833059951
8.585858585858587,1.8585858585858586,1.8585858585858586,3.717171717171717,20.169621943244536,3.255640063665015
8.686868686868687,1.8686868686868687,1.8686868686868687,3.7373737373737375,20.500264954705173,3.2911236170526688
8.787878787878787,1.878787878787879,1.878787878787879,3.757575757575758,20.834501876749542,3.3267994932229112
8.88888888888889,1.8888888888888888,1.8888888888888888,3.7777777777777777,21.172352135921333,3.3626676921757417
8.98989898989899,1.898989898989899,1.898989898989899,3.797979797979798,21.513835158764255,3.398728213911162
9.09090909090909,1.9090909090909092,1.9090909090909092,3.8181818181818183,21.858970371822,3.4349810584291713
9.191919191919192,1.9191919191919191,1.9191919191919191,3.8383838383838382,22.207777201638248,3.4714262257297683
9.292929292929292,1.9292929292929293,1.9292929292929293,3.8585858585858586,22.560275074756717,3.508063715812955
9.393939393939394,1.9393939393939394,1.9393939393939394,3.878787878787879,22.91648341772109,3.544893528678731
9.494949494949495,1.9494949494949494,1.9494949494949494,3.898989898989899,23.27642165707506,3.5819156643270955
9.595959595959595,1.9595959595959596,1.9595959595959596,3.919191919191919,23.64010921936234,3.6191301227580492
9.696969696969697,1.9696969696969697,1.9696969696969697,3.9393939393939394,24.00756553112661,3.656536903971591
9.797979797979798,1.9797979797979797,1.9797979797979797,3.9595959595959593,24.378810018911565,3.6941360079677223
9.8989898989899,1.98989898989899,1.98989898989899,3.97979797979798,24.753862109260922,3.731927434746443
10.0,2.0,2.0,4.0,25.132741228718345,3.769911184307752
